画家 (Painter),出生日期 (DOB),出生地 (Place of Birth)
林庭珪,N/A,N/A
Q4103205,N/A,開封市
范寬,N/A,耀州 (古代)
宋迪,N/A,N/A
燕肅,N/A,N/A
高克明,N/A,N/A
高述,N/A,N/A
郭游卿,N/A,N/A
劉忱,N/A,N/A
畢良史,N/A,N/A
郭思,N/A,N/A
李安忠,N/A,N/A
张敦礼,N/A,開封市
赵宗汉,N/A,N/A
陳居中,N/A,N/A
范坦,N/A,N/A
蔡肇,N/A,N/A
王利用,N/A,N/A
文勛,N/A,N/A
李結,N/A,N/A
張鎡,N/A,N/A
丘訥,N/A,N/A
劉松老,N/A,N/A
宋子房,N/A,N/A
王鞏,N/A,N/A
賈公傑,N/A,N/A
尤叔保,N/A,N/A
魯之茂,N/A,N/A
林泳,N/A,N/A
江參,N/A,N/A
彭皋,N/A,N/A
林椿,N/A,N/A
孔去非,N/A,N/A
秦湛,N/A,N/A
蔣長源,N/A,N/A
錢仁熙,N/A,N/A
范正夫,N/A,N/A
郭道卿,N/A,N/A
李景道,N/A,N/A
李景遊,N/A,N/A
李景孟,N/A,N/A
李時雍,N/A,N/A
李時敏,N/A,N/A
吳環,N/A,N/A
賀某,N/A,N/A
趙叔盎,N/A,N/A
宋澥,N/A,N/A
趙與懃,N/A,N/A
劉延世,N/A,N/A
李仲宣,N/A,N/A
邵少微,N/A,N/A
司馬槐,N/A,N/A
楊瓚,N/A,N/A
俞珙,N/A,N/A
張浹,N/A,N/A
王持,N/A,N/A
李遵,N/A,N/A
朱象先,N/A,N/A
李頎,N/A,N/A
杜孩兒,N/A,N/A
李延之,N/A,N/A
孟應之,N/A,N/A
何淵,N/A,N/A
來子章,N/A,N/A
朱宗翼,N/A,N/A
呂漸,N/A,N/A
高懷寶,N/A,N/A
胡彥龍,N/A,N/A
侯某,N/A,N/A
周吉言,N/A,N/A
顧亮,N/A,N/A
麻某,N/A,N/A
朱象先,N/A,N/A
釋擇仁,N/A,N/A
宣亨,N/A,N/A
李明文,N/A,N/A
王顯道,N/A,N/A
戴某,N/A,N/A
包寀,N/A,N/A
任從一,N/A,N/A
李懷袞,N/A,N/A
李祐之,N/A,N/A
王華,N/A,N/A
王可訓,N/A,N/A
朱瑩,N/A,N/A
洪子範,N/A,N/A
田景,N/A,N/A
胡錫,N/A,N/A
黃居寶,N/A,N/A
司馬寇,N/A,N/A
李東,N/A,N/A
趙大亨,N/A,N/A
包鼎,N/A,N/A
宋永年,N/A,N/A
衛松,N/A,N/A
李植,N/A,N/A
王延嗣,N/A,N/A
李誕,N/A,N/A
王木,N/A,N/A
趙千里,N/A,N/A
顧德謙,N/A,N/A
毛文昌,N/A,N/A
何世昌,N/A,N/A
朱大洞,N/A,N/A
屈用誠,N/A,N/A
李澄,N/A,N/A
趙晞遠,N/A,N/A
李權,N/A,N/A
房歛,N/A,N/A
王公道,N/A,N/A
趙令晙,N/A,N/A
趙仲憪,N/A,N/A
高大亨,N/A,N/A
廉布,N/A,N/A
丁晞顏,N/A,N/A
高元亨,N/A,N/A
毛允昇,N/A,N/A
周堯敏,N/A,N/A
吳迪,N/A,N/A
宋處,N/A,N/A
吳炳,N/A,N/A
李從訓,N/A,N/A
王述,N/A,N/A
王道真,N/A,N/A
艷艷,N/A,N/A
李覺,N/A,N/A
李雄,N/A,N/A
何充,N/A,N/A
成子,N/A,N/A
李茂,N/A,N/A
李鬱,N/A,N/A
葛守昌,N/A,N/A
尹白,N/A,N/A
朱懷瑾,N/A,N/A
周鼎臣,N/A,N/A
朱玉,N/A,N/A
王兼濟,N/A,N/A
牛戩,N/A,N/A
吳璜,N/A,N/A
王訓成,N/A,N/A
呂源,N/A,N/A
白思恭,N/A,N/A
武克溫,N/A,N/A
宋良臣,N/A,N/A
方氏,N/A,N/A
李皓,N/A,N/A
牟仲甫,N/A,N/A
李昭,N/A,N/A
田松,N/A,N/A
吳九州,N/A,N/A
朱紹宗,N/A,N/A
李八師,N/A,N/A
武道光,N/A,N/A
吳進,N/A,N/A
李士雲,N/A,N/A
王介,N/A,N/A
吳元瑜,N/A,N/A
周純,N/A,N/A
何尊師,N/A,N/A
姒頤真,N/A,N/A
郭某,N/A,N/A
范安仁,N/A,N/A
唐希雅,N/A,N/A
刁光胤,N/A,N/A
唐異,N/A,N/A
田和,N/A,N/A
李希成,N/A,N/A
何浩,N/A,N/A
釋寶覺,N/A,N/A
李煥,N/A,N/A
毛信卿,N/A,N/A
李元濟,N/A,N/A
王易,N/A,N/A
胡九齡,N/A,N/A
李益,N/A,N/A
艾淑,N/A,N/A
池州匠,N/A,N/A
朱羲,N/A,N/A
王居正,N/A,N/A
李蕃,N/A,N/A
何霸,N/A,N/A
田宗源,N/A,N/A
王拙,N/A,N/A
周與權,N/A,N/A
石恪,N/A,N/A
李正臣,N/A,N/A
李時澤,N/A,N/A
李南金,N/A,N/A
武洞清,N/A,N/A
王輝,N/A,N/A
丘慶餘,N/A,N/A
高懷節,N/A,N/A
高文進,N/A,N/A
王曉,N/A,N/A
李明,N/A,N/A
胡舜臣,N/A,N/A
周詢,N/A,N/A
左建,N/A,N/A
王穀,N/A,N/A
李遵易,N/A,N/A
李世南,N/A,N/A
王晟,N/A,N/A
林俊民,N/A,N/A
李宗晟,N/A,N/A
水丘覽雲,N/A,N/A
林彥祥,N/A,N/A
李公年,N/A,N/A
成宗道,N/A,N/A
周照,N/A,N/A
史顯祖,N/A,N/A
周左,N/A,N/A
孟顯,N/A,N/A
顧大中,N/A,N/A
支選,N/A,N/A
周儀,N/A,N/A
何青年,N/A,N/A
王洪,N/A,N/A
樓觀,N/A,N/A
毛存,N/A,N/A
方椿年,N/A,N/A
丘士元,N/A,N/A
尹大夫,N/A,N/A
范彬,N/A,N/A
南安翁,N/A,N/A
任粹,N/A,N/A
田白,N/A,N/A
任誼,N/A,N/A
李元崇,N/A,N/A
周曾,N/A,N/A
劉朴,N/A,N/A
王鼎,N/A,N/A
朱森,N/A,N/A
王凝,N/A,N/A
李用及,N/A,N/A
王端,N/A,N/A
周珏,N/A,N/A
朱銳,N/A,N/A
釋覺心,N/A,N/A
李春,N/A,N/A
王元通,N/A,N/A
李德茂,N/A,N/A
李吉,N/A,N/A
左幼山,N/A,N/A
周白,N/A,N/A
李章,N/A,N/A
朱漸,N/A,N/A
王道亨,N/A,N/A
白輝,N/A,N/A
李確,N/A,N/A
艾宣,N/A,N/A
和成忠,N/A,N/A
毛政,N/A,N/A
白良玉,N/A,N/A
尹質,N/A,N/A
龔吉,N/A,N/A
邵斌,N/A,N/A
宋永錫,N/A,N/A
李漢舉,N/A,N/A
李宗成,N/A,N/A
朱光普,N/A,N/A
施義,N/A,N/A
顧師顏,N/A,N/A
王友,N/A,N/A
王登仕,N/A,N/A
呂元亨,N/A,N/A
甘風子,N/A,N/A
林谷成,N/A,N/A
牟谷,N/A,N/A
吳俊臣,N/A,N/A
李德柔,N/A,N/A
王友端,N/A,N/A
於青年,N/A,N/A
李思賢,N/A,N/A
呂拙,N/A,N/A
王珏,N/A,N/A
何閣長,N/A,N/A
李達,N/A,N/A
顧洪祝,N/A,N/A
吳懷,N/A,N/A
王會,N/A,N/A
任安,N/A,N/A
李遠,N/A,N/A
釋繼肇,N/A,N/A
眉山老書生,N/A,N/A
牟益,N/A,N/A
李象坤,N/A,N/A
南簡,N/A,N/A
句龍爽,N/A,N/A
吉祥,N/A,N/A
呂天策,N/A,N/A
李瑛,N/A,N/A
賀真,N/A,N/A
李符,N/A,N/A
辛成,N/A,N/A
宋莊,N/A,N/A
馬隱,N/A,N/A
高洵,N/A,N/A
侯封,N/A,N/A
袁㠖,N/A,N/A
侯翌,N/A,N/A
侯必大,N/A,N/A
侯文慶,N/A,N/A
唐忠祈,N/A,N/A
侯宗古,N/A,N/A
段吉先,N/A,N/A
兼至誠,N/A,N/A
高益,N/A,N/A
高彥實,N/A,N/A
侯守中,N/A,N/A
高嗣昌,N/A,N/A
唐宿,N/A,N/A
高燾,N/A,N/A
馬永忠,N/A,N/A
祝次仲,N/A,N/A
孫懷說,N/A,N/A
袁仁厚,N/A,N/A
夏東叟,N/A,N/A
紀真,N/A,N/A
秦友諒,N/A,N/A
夏奕,N/A,N/A
郝章,N/A,N/A
馬宋英,N/A,N/A
孫夢卿,N/A,N/A
夏子文,N/A,N/A
郝處,N/A,N/A
夏森,N/A,N/A
靳詠,N/A,N/A
靳東發,N/A,N/A
路衙推,N/A,N/A
董祥,N/A,N/A
董常,N/A,N/A
董琛,N/A,N/A
董贇,N/A,N/A
萬濟,N/A,N/A
葉森,N/A,N/A
葉仁遇,N/A,N/A
葉進成,N/A,N/A
葉漢卿,N/A,N/A
詹先野,N/A,N/A
解處中,N/A,N/A
臺亨,N/A,N/A
翟院深,N/A,N/A
趙林,N/A,N/A
趙彥,N/A,N/A
趙芾,N/A,N/A
郝澄,N/A,N/A
趙廉,N/A,N/A
郝士安,N/A,N/A
張遠,N/A,N/A
夏侯延祐,N/A,N/A
孫覺,N/A,N/A
郝孝隆,N/A,N/A
趙子雲,N/A,N/A
員真,N/A,N/A
胡奇,N/A,N/A
趙子澄,N/A,N/A
趙士表,N/A,N/A
趙士衍,N/A,N/A
趙士暕,N/A,N/A
趙士腆,N/A,N/A
趙士雷,N/A,N/A
趙士遵,N/A,N/A
趙山甫,N/A,N/A
趙元亨,N/A,N/A
孫必達,N/A,N/A
孫可元,N/A,N/A
徐崇矩,N/A,N/A
孫用和,N/A,N/A
章程,N/A,N/A
趙令松,N/A,N/A
郭元方,N/A,N/A
時光,N/A,N/A
孫知微,N/A,N/A
郭惟簡,N/A,N/A
時叔遠,N/A,N/A
荀信,N/A,N/A
趙君壽,N/A,N/A
許迪,N/A,N/A
居寧,N/A,N/A
趙克敻,N/A,N/A
許龍湫,N/A,N/A
許中正,N/A,N/A
趙宗閔,N/A,N/A
曹瑩,N/A,N/A
趙叔儺,N/A,N/A
曹仁希,N/A,N/A
曹正國,N/A,N/A
釋梵隆,N/A,N/A
曹申甫,N/A,N/A
趙時遠,N/A,N/A
趙師宰,N/A,N/A
戚仲,N/A,N/A
楊士賢,N/A,N/A
張仲,N/A,N/A
戚文秀,N/A,N/A
戚化元,N/A,N/A
張玄,N/A,N/A
趙雲子,N/A,N/A
趙維城,N/A,N/A
王藹,N/A,N/A
王藻,N/A,N/A
趙邈齪,N/A,N/A
甄慧,N/A,N/A
王士元,N/A,N/A
蒙亨,N/A,N/A
王定國,N/A,N/A
蒲永昇,N/A,N/A
毌咸之,N/A,N/A
裴文睨,N/A,N/A
老成,N/A,N/A
熊應周,N/A,N/A
李昭,N/A,N/A
李隱,N/A,N/A
李友直,N/A,N/A
李思賢,N/A,N/A
李從訓,N/A,N/A
吳瓌,N/A,N/A
鄭天民,N/A,N/A
倪濤,N/A,N/A
鄭希古,N/A,N/A
徐京,N/A,N/A
徐明,N/A,N/A
徐皋,N/A,N/A
厲昭慶,N/A,N/A
陳坦,N/A,N/A
薛彥晦,N/A,N/A
鍾文秀,N/A,N/A
陳珏,N/A,N/A
戴琬,N/A,N/A
陳常,N/A,N/A
豐興祖,N/A,N/A
儲大有,N/A,N/A
陳椿,N/A,N/A
魏燮,N/A,N/A
魏觀察,N/A,N/A
龐崇穆,N/A,N/A
譚宏,N/A,N/A
譚季蕭,N/A,N/A
徐世昌,N/A,N/A
徐世榮,N/A,N/A
鄧隱,N/A,N/A
徐改之,N/A,N/A
徐凱之,N/A,N/A
徐道廣,N/A,N/A
歐陽楚翁,N/A,N/A
郗七,N/A,N/A
能成甫,N/A,N/A
蔣太尉,N/A,N/A
梁揆,N/A,N/A
蔡規,N/A,N/A
梁忠信,N/A,N/A
蔡潤,N/A,N/A
商訓,N/A,N/A
魯莊,N/A,N/A
魯宗貴,N/A,N/A
劉永,N/A,N/A
劉浩,N/A,N/A
劉浩,N/A,N/A
劉益,N/A,N/A
劉寀,N/A,N/A
連鰲,N/A,N/A
劉常,N/A,N/A
劉瑗,N/A,N/A
劉銓,N/A,N/A
張明,N/A,N/A
劉贊,N/A,N/A
張茂,N/A,N/A
劉耀,N/A,N/A
張紀,N/A,N/A
劉文通,N/A,N/A
劉文惠,N/A,N/A
劉允文,N/A,N/A
劉古心,N/A,N/A
劉仲先,N/A,N/A
劉仲懷,N/A,N/A
劉宗古,N/A,N/A
劉宗道,N/A,N/A
張戡,N/A,N/A
劉明仲,N/A,N/A
張著,N/A,N/A
劉思義,N/A,N/A
張戩,N/A,N/A
張諒,N/A,N/A
劉國用,N/A,N/A
劉尊師,N/A,N/A
劉道士,N/A,N/A
劉漢卿,N/A,N/A
劉夢良,N/A,N/A
劉履中,N/A,N/A
張翼,N/A,N/A
梅行思,N/A,N/A
釋法能,N/A,N/A
釋法常,N/A,N/A
崔愨,N/A,N/A
崔友諒,N/A,N/A
畢生,N/A,N/A
釋彥深,N/A,N/A
符道隱,N/A,N/A
釋思淨,N/A,N/A
馮清,N/A,N/A
馮覲,N/A,N/A
馮曠,N/A,N/A
馮久照,N/A,N/A
釋真慧,N/A,N/A
釋修範,N/A,N/A
龍升,N/A,N/A
張舉,N/A,N/A
龍祥,N/A,N/A
張鎰,N/A,N/A
霍适,N/A,N/A
燕文季,N/A,N/A
閻仲,N/A,N/A
閻士安,N/A,N/A
閻次平,N/A,N/A
閻次安,N/A,N/A
盧章,N/A,N/A
盧象先,N/A,N/A
盧道寧,N/A,N/A
戰德淳,N/A,N/A
蕭太虛,N/A,N/A
衛松,N/A,N/A
衛光遠,N/A,N/A
張希顏,N/A,N/A
張宗古,N/A,N/A
張思義,N/A,N/A
張訓禮,N/A,N/A
謝昇,N/A,N/A
張敏叔,N/A,N/A
張無惑,N/A,N/A
張嗣昌,N/A,N/A
張萬成,N/A,N/A
韓若拙,N/A,N/A
陳左,N/A,N/A
馮進城,N/A,N/A
游昭,N/A,N/A
湯子昇,N/A,N/A
童仁益,N/A,N/A
釋敏行,N/A,N/A
甯久中,N/A,N/A
曾士賢,N/A,N/A
釋惠崇,N/A,N/A
釋超然,N/A,N/A
釋虛己,N/A,N/A
釋智平,N/A,N/A
釋智源,N/A,N/A
黃益,N/A,N/A
釋道宏,N/A,N/A
黃齊,N/A,N/A
黃廣,N/A,N/A
黃彝,N/A,N/A
釋傳古,N/A,N/A
釋夢林,N/A,N/A
釋慧亨,N/A,N/A
釋慧淵,N/A,N/A
釋慧崇,N/A,N/A
釋德止,N/A,N/A
黃庭浩,N/A,N/A
黃斌老,N/A,N/A
黃與迪,N/A,N/A
黃懷玉,N/A,N/A
費道寧,N/A,N/A
盛師顏,N/A,N/A
單煒,N/A,N/A
單邦顯,N/A,N/A
喬鍾馗,N/A,N/A
焦錫,N/A,N/A
傅逸,N/A,N/A
程堂,N/A,N/A
程若筠,N/A,N/A
雍巘,N/A,N/A
雍秀才,N/A,N/A
賈祥,N/A,N/A
羅存,N/A,N/A
羅仲通,N/A,N/A
羅勝先,N/A,N/A
蘇堅,N/A,N/A
蘇晉卿,N/A,N/A
蘇顯祖,N/A,N/A
陳用志,N/A,N/A
陳自然,N/A,N/A
陳庚生,N/A,N/A
陳宗訓,N/A,N/A
釋大椿,N/A,N/A
陳直躬,N/A,N/A
釋月篷,N/A,N/A
釋仁濟,N/A,N/A
陳清波,N/A,N/A
釋可宗,N/A,N/A
釋令宗,N/A,N/A
陳虞之,N/A,N/A
陸青,N/A,N/A
陸琮,N/A,N/A
陸瑾,N/A,N/A
釋志堅,N/A,N/A
陸文通,N/A,N/A
陸仲明,N/A,N/A
陸懷道,N/A,N/A
陶忠,N/A,N/A
陶裔,N/A,N/A
賈師古,N/A,N/A
雷宗道,N/A,N/A
雷殿直,N/A,N/A
楊祁,N/A,N/A
楊威,N/A,N/A
楊朏,N/A,N/A
楊棐,N/A,N/A
楊傑,N/A,N/A
楊暉,N/A,N/A
楊寵,N/A,N/A
楊大明,N/A,N/A
楊日言,N/A,N/A
楊世昌,N/A,N/A
楊安道,N/A,N/A
楊吉老,N/A,N/A
艳艳女史,N/A,N/A
马远,http://www.wikidata.org/.well-known/genid/43bdbf9dd592b6eee11ff289f3b8247a,杭州市
釋德正,0877-01-01,N/A
徐熙,0886-01-01,南京市
黄荃,0903-01-01,成都市
昝居潤,0908-01-01,N/A
周文矩,0917-01-01,南京市
李成,0919-01-01,潍坊市
李穆,0928-01-01,N/A
黃居寀,0933-01-01,成都市
顾闳中,0937-01-01,N/A
吳淑,0947-01-01,N/A
赵干,0950-01-01,N/A
郭忠恕,0950-01-01,洛陽市
祁序,0950-01-01,N/A
陳文頊,0958-01-01,N/A
趙昌,0960-01-01,广汉市
燕文貴,0967-01-01,N/A
錢易,0968-01-01,N/A
许道宁,0970-01-01,N/A
武宗元,0980-01-01,孟津区
张先,0990-01-01,N/A
徐崇嗣,0999-01-01,N/A
巨然,1000-01-01,南昌市
崔白,1000-01-01,凤阳县
易元吉,1000-01-01,N/A
章友直,1006-01-01,N/A
何受,1006-01-01,N/A
李端懿,1013-01-01,N/A
宋道,1014-01-01,N/A
文同,1018-01-01,盐亭县
郭熙,1020-01-01,温县
王安石,1021-12-14,临川区
郭熙,1023-01-01,温县
屈鼎,1023-01-01,開封市
朱长文,1039-01-01,苏州市
刘巨济,1043-01-01,N/A
黃庭堅,1045-01-01,修水县
李唐,1049-01-01,孟州市
李公麟,1049-01-01,桐城市
趙令穰,1050-01-01,N/A
釋仲仁,1050-01-01,紹興市
李唐,1050-01-01,孟州市
李玮,1050-01-01,N/A
米芾,1051-12-10,江苏省
晁无咎,1053-01-01,N/A
晁說之,1059-01-01,N/A
蘇過,1072-01-01,N/A
翟汝文,1076-01-01,N/A
黃伯思,1079-01-01,N/A
朱敦儒,1081-01-01,N/A
宋徽宗,1082-11-08,開封市
米友仁,1086-01-01,太原市
樓璹,1090-01-01,N/A
徐兢,1091-01-01,N/A
楊无咎,1097-01-01,N/A
楊无咎,1098-01-01,N/A
苏汉臣,1101-01-01,開封市
趙楷,1101-01-01,N/A
仁懷皇后; 朱皇后,1102-01-01,開封市
釋智融,1114-01-01,N/A
任源,1116-01-01,N/A
曾敏行,1118-01-01,N/A
赵伯驹,1120-01-01,N/A
趙伯驌,1124-01-01,N/A
鄭倫,1135-01-01,N/A
趙師,1148-01-01,N/A
韓拙,1150-01-01,N/A
馬賁,1150-01-01,N/A
馬公顯,1150-01-01,N/A
馬逵,1150-01-01,N/A
馬世榮,1150-01-01,N/A
馬興祖,1150-01-01,N/A
毛松,1150-01-01,N/A
毛益,1150-01-01,N/A
萧照,1150-01-01,获泽县
周季常,1150-01-01,N/A
馬和之,1150-01-01,N/A
劉賢妃,1150-01-01,N/A
黄由,1150-01-01,苏州市
马远,1160-01-01,杭州市
高翥,1170-01-01,N/A
劉松年,1174-01-01,杭州市
無準師範,1177-01-01,梓潼县
無準師範,1178-01-01,梓潼县
马麟,1180-01-01,N/A
趙葵,1186-01-01,N/A
林希逸,1193-01-01,N/A
葛長庚,1194-01-01,N/A
周弼,1194-01-01,N/A
夏圭,1195-01-01,杭州市
宋伯仁,1197-01-01,N/A
王柏,1197-01-01,N/A
趙孟堅,1199-01-01,海盐县
陈容,1200-01-01,长乐区
梁楷,1200-01-01,山東省
牧谿,1210-01-01,四川省
钱选,1235-01-01,吴兴区
趙孟奎,1237-01-01,N/A
钱选,1239-01-01,吴兴区
韩希孟,1241-01-01,N/A
韩希孟,1242-01-01,N/A
宋汝志,1250-01-01,N/A
陈琳,1260-01-01,杭州市
